"date","mun_code","mun_name","tests","cases","population","cases_per_100K"
2020-04-03,420,"Assens",NA,NA,41212,NA
2020-04-03,430,"Faaborg-Midtfyn",NA,20,51809,38.6
2020-04-03,440,"Kerteminde",NA,NA,23773,NA
2020-04-03,450,"Nyborg",NA,16,32042,49.9
2020-04-03,461,"Odense",NA,73,204182,35.8
2020-04-03,479,"Svendborg",NA,42,58599,71.7
2020-04-03,480,"Nordfyns",NA,NA,29693,NA
2020-04-03,482,"Langeland",NA,NA,12560,NA
2020-04-03,492,"Ærø",NA,NA,6058,NA
2020-04-03,510,"Haderslev",NA,NA,55857,NA
2020-04-03,530,"Billund",NA,NA,26629,NA
2020-04-03,540,"Sønderborg",NA,NA,74561,NA
2020-04-03,550,"Tønder",NA,NA,37587,NA
2020-04-03,561,"Esbjerg",NA,75,115652,64.8
2020-04-03,563,"Fanø",NA,NA,3404,NA
2020-04-03,573,"Varde",NA,NA,50129,NA
2020-04-03,575,"Vejen",NA,12,42863,28
2020-04-03,580,"Aabenraa",NA,13,59035,22
2020-04-03,607,"Fredericia",NA,25,51427,48.6
2020-04-03,615,"Horsens",NA,14,90370,15.5
2020-04-03,621,"Kolding",NA,66,92893,71
2020-04-03,630,"Vejle",NA,46,114830,40.1
2020-04-03,657,"Herning",NA,94,88917,105.7
2020-04-03,661,"Holstebro",NA,62,58504,106
2020-04-03,665,"Lemvig",NA,NA,19998,NA
2020-04-03,671,"Struer",NA,11,21143,52
2020-04-03,706,"Syddjurs",NA,NA,42768,NA
2020-04-03,707,"Norddjurs",NA,NA,37680,NA
2020-04-03,710,"Favrskov",NA,15,48374,31
2020-04-03,727,"Odder",NA,NA,22675,NA
2020-04-03,730,"Randers",NA,19,97909,19.4
2020-04-03,740,"Silkeborg",NA,43,93054,46.2
2020-04-03,741,"Samsø",NA,NA,3684,NA
2020-04-03,746,"Skanderborg",NA,28,61974,45.2
2020-04-03,751,"Aarhus",NA,189,345332,54.7
2020-04-03,756,"Ikast-Brande",NA,11,41282,26.6
2020-04-03,760,"Ringkøbing-Skjern",NA,29,56930,50.9
2020-04-03,766,"Hedensted",NA,NA,46747,NA
2020-04-03,773,"Morsø",NA,NA,20403,NA
2020-04-03,779,"Skive",NA,13,46224,28.1
2020-04-03,787,"Thisted",NA,10,43660,22.9
2020-04-03,791,"Viborg",NA,30,97113,30.9
2020-04-03,810,"Brønderslev",NA,21,36370,57.7
2020-04-03,813,"Frederikshavn",NA,NA,59987,NA
2020-04-03,820,"Vesthimmerlands",NA,23,37121,62
2020-04-03,825,"Læsø",NA,NA,1806,NA
2020-04-03,840,"Rebild",NA,NA,29916,NA
2020-04-03,846,"Mariagerfjord",NA,13,42055,30.9
2020-04-03,849,"Jammerbugt",NA,NA,38460,NA
2020-04-03,851,"Aalborg",NA,95,215312,44.1
2020-04-03,860,"Hjørring",NA,14,64665,21.7
2020-04-10,101,"København",NA,1164,623404,187
2020-04-10,147,"Frederiksberg",NA,224,103960,215
2020-04-10,151,"Ballerup",NA,84,48458,173
2020-04-10,153,"Brøndby",NA,71,35397,201
2020-04-10,155,"Dragør",NA,17,14270,119
2020-04-10,157,"Gentofte",NA,145,75176,193
2020-04-10,159,"Gladsaxe",NA,130,69681,187
2020-04-10,161,"Glostrup",NA,73,22615,323
2020-04-10,163,"Herlev",NA,55,28786,191
2020-04-10,165,"Albertslund",NA,45,27877,161
2020-04-10,167,"Hvidovre",NA,120,53416,225
2020-04-10,169,"Høje-Taastrup",NA,66,50686,130
2020-04-10,173,"Lyngby-Taarbæk",NA,85,55790,152
2020-04-10,175,"Rødovre",NA,64,40052,160
2020-04-10,183,"Ishøj",NA,29,22946,126
2020-04-10,185,"Tårnby",NA,53,42984,123
2020-04-10,187,"Vallensbæk",NA,47,16654,282
2020-04-10,190,"Furesø",NA,46,41069,112
2020-04-10,201,"Allerød",NA,18,25646,70
2020-04-10,210,"Fredensborg",NA,28,40819,69
2020-04-10,217,"Helsingør",NA,81,62567,129
2020-04-10,219,"Hillerød",NA,59,50998,116
2020-04-10,223,"Hørsholm",NA,46,25007,184
2020-04-10,230,"Rudersdal",NA,76,56509,134
2020-04-10,240,"Egedal",NA,89,43335,205
2020-04-10,250,"Frederikssund",NA,47,45332,104
2020-04-10,253,"Greve",NA,57,50267,113
2020-04-10,259,"Køge",NA,75,60675,124
2020-04-10,260,"Halsnæs",NA,21,31271,67
2020-04-10,265,"Roskilde",NA,85,87577,97
2020-04-10,269,"Solrød",NA,31,23065,134
2020-04-10,270,"Gribskov",NA,50,41195,121
2020-04-10,306,"Odsherred",NA,18,33122,54
2020-04-10,316,"Holbæk",NA,61,71297,86
2020-04-10,320,"Faxe",NA,24,36513,66
2020-04-10,326,"Kalundborg",NA,35,48681,72
2020-04-10,329,"Ringsted",NA,21,34725,60
2020-04-10,330,"Slagelse",NA,186,79073,235
2020-04-10,336,"Stevns",NA,11,22782,48
2020-04-10,340,"Sorø",NA,37,29834,124
2020-04-10,350,"Lejre",NA,20,27775,72
2020-04-10,360,"Lolland",NA,26,41615,62
2020-04-10,370,"Næstved",NA,67,82991,81
2020-04-10,376,"Guldborgsund",NA,25,60930,41
2020-04-10,390,"Vordingborg",NA,15,45816,33
2020-04-10,400,"Bornholm",NA,50,39572,126
2020-04-10,410,"Middelfart",NA,35,38553,91
2020-04-10,411,"Christiansø",NA,NA,90,NA
2020-04-10,420,"Assens",NA,13,41212,32
2020-04-10,430,"Faaborg-Midtfyn",NA,24,51809,46
2020-04-10,440,"Kerteminde",NA,10,23773,42
2020-04-10,450,"Nyborg",NA,23,32042,72
2020-04-10,461,"Odense",NA,112,204182,55
2020-04-10,479,"Svendborg",NA,63,58599,108
2020-04-10,480,"Nordfyns",NA,12,29693,40
2020-04-10,482,"Langeland",NA,NA,12560,NA
2020-04-10,492,"Ærø",NA,NA,6058,NA
2020-04-10,510,"Haderslev",NA,NA,55857,NA
2020-04-10,530,"Billund",NA,NA,26629,NA
2020-04-10,540,"Sønderborg",NA,11,74561,15
2020-04-10,550,"Tønder",NA,10,37587,27
2020-04-10,561,"Esbjerg",NA,102,115652,88
2020-04-10,563,"Fanø",NA,NA,3404,NA
2020-04-10,573,"Varde",NA,13,50129,26
2020-04-10,575,"Vejen",NA,21,42863,49
2020-04-10,580,"Aabenraa",NA,26,59035,44
2020-04-10,607,"Fredericia",NA,34,51427,66
2020-04-10,615,"Horsens",NA,28,90370,31
2020-04-10,621,"Kolding",NA,94,92893,101
2020-04-10,630,"Vejle",NA,67,114830,58
2020-04-10,657,"Herning",NA,152,88917,171
2020-04-10,661,"Holstebro",NA,130,58504,222
2020-04-10,665,"Lemvig",NA,13,19998,65
2020-04-10,671,"Struer",NA,20,21143,95
2020-04-10,706,"Syddjurs",NA,NA,42768,NA
2020-04-10,707,"Norddjurs",NA,NA,37680,NA
2020-04-10,710,"Favrskov",NA,22,48374,45
2020-04-10,727,"Odder",NA,NA,22675,NA
2020-04-10,730,"Randers",NA,21,97909,21
2020-04-10,740,"Silkeborg",NA,66,93054,71
2020-04-10,741,"Samsø",NA,NA,3684,NA
2020-04-10,746,"Skanderborg",NA,37,61974,60
2020-04-10,751,"Aarhus",NA,265,345332,77
2020-04-10,756,"Ikast-Brande",NA,26,41282,63
2020-04-10,760,"Ringkøbing-Skjern",NA,43,56930,76
2020-04-10,766,"Hedensted",NA,NA,46747,NA
2020-04-10,773,"Morsø",NA,NA,20403,NA
2020-04-10,779,"Skive",NA,21,46224,45
2020-04-10,787,"Thisted",NA,22,43660,50
2020-04-10,791,"Viborg",NA,44,97113,45
